"Organisatie (onderdeel)";"Naam";"Functie";"Resource identifier v4.0 organisatie";"Resource identifier v5.0 organisatie";"Actieve beheerder ROO"
"Gemeente Aa en Hunze";"Mw. M.G.W. Neesen";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Juridische zaken";"Woo-contactpersoon";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. I. Berghuis";"Locoburgemeester";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Mw. L. Martens-Schuitema";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Mw. B. Oortwijn";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Mw. M.G.W. Neesen";"Fractievoorzitter";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. J.C.  Fluks";"Fractievoorzitter";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. ing. R. Vedder";"Fractievoorzitter";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. K.J. Stol";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. ing. R. Vedder";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. H. Hof";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. B. Veninga";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. P. Wolters";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Mw. L. Ploeger";"Raadslid";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
"Gemeente Aa en Hunze";"Dhr. I. Berghuis";"Wethouder";"http://standaarden.overheid.nl/owms/terms/Aa_en_Hunze";"https://identifier.overheid.nl/tooi/id/gemeente/gm1680";"Ja"
