Gemeente,Naam,Functie,TOOI
Gemeente Aalten,J.M. Disveld,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0197
Gemeente Albrandswaard,Mevr. Y. van den Oever,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0613
Gemeente Alkmaar,Jamila Cortet,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0361
Gemeente Almelo,dhr. (Arjan) Lindeboom,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0141
Gemeente Altena,Raïne Franck-Pouw,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1959
Gemeente Ameland,Berber Rijpstra,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0060
Gemeente Arnhem,R. Kroes,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0202
Gemeente Arnhem,W. Bolwerk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0202
Gemeente Assen,Mevrouw C. Kroezen-Touw (Cindy),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0106
Gemeente Baarn,N.W. (Nikki) van den Hoek,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0308
Gemeente Barendrecht,Mevr. Y. van den Oever,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0489
Gemeente Beek,dhr. R. Keulers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0888
Gemeente Beek,dhr. R. Keulers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0888
Gemeente Bergen (L),Brigitte de Kinkelder,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0893
Gemeente Bergen op Zoom,Ruud Quispel,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0748
Gemeente Bergen op Zoom,Liselotte Huismans,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0748
Gemeente Bernheze,mevrouw M. Verberk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1721
Gemeente Beverwijk,Linda Handels,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0375
Gemeente Bladel,mw. A. (Anke) Mijs-Bullens,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1728
Gemeente Bloemendaal,Mevr. O. Govers-Terschegget,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0377
Gemeente Bodegraven-Reeuwijk,mw. L.M.J. (Luca) Frantzen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1901
Gemeente Borger-Odoorn,Joost van den Berg,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1681
Gemeente Borne,Gerard Annink,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0147
Gemeente Boxtel,Mevr. E. Willems-van der Tol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0757
Gemeente Breda,E.E.J. (Emma) van Gemert,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0758
Gemeente Breda,J.B.M. (Julia) Ligtenberg,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0758
Gemeente Bunschoten,dhr. E. (Erik) Vedder,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0313
Gemeente Capelle aan den IJssel,Stijn Bakker,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0502
Gemeente Capelle aan den IJssel,Léon van den Herik,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0502
Gemeente Capelle aan den IJssel,Bianca Magdalena,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0502
Gemeente Cranendonck,dhr. M. (Marc) Walta,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1706
Gemeente Cranendonck,dhr. R. (Remy) Visser,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1706
Gemeente Cranendonck,mevr. H. (Hetty) van Heugten,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1706
Gemeente Dalfsen,"College van B&W, postbus 35, 7720 AA, Dalfsen",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0148
Gemeente Dalfsen,mw. A. Kleine,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0148
Gemeente De Wolden,Mw. I. (Inez) Heling,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1690
Gemeente Delft,Woo-loket (dhr. J. Lomp en mevr. R. van der Vee),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0503
Gemeente Den Haag,Datashop Gemeente,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0518
Gemeente Deventer,Mevr. Beukelman,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0150
Gemeente Dijk en Waard,Aisha Abbasov,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1980
Gemeente Dongen,mevr. V.J.S. (Veerle) Ultee,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0766
Gemeente Dongen,Jurre Bossink,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0766
Gemeente Dordrecht,mr. J.S. (Monica) de Kam,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0505
Gemeente Drechterland,mevr. E. (Elsbeth) Groothedde,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0498
Gemeente Druten,Mevr.  Van den Oever,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0225
Gemeente Druten,Mevr. Sutman,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0225
Gemeente Duiven,Medewerkers Dienstverlening,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0226
Gemeente Edam-Volendam,Mevr. D.M. (Diana) van Zuijlen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0385
Gemeente Eemsdelta,dhr. mr. U.C. (Ulco) Faber,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1979
Gemeente Eersel,mevr. mr. drs. C.M.J.H. (Marjan) Stox,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0770
Gemeente Eersel,"mevr. K.M. (Kelly) Hokke, MA, Bsc",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0770
Gemeente Eijsden-Margraten,De heer R. Willems,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1903
Gemeente Eijsden-Margraten,De heer E. Lewandowski,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1903
Gemeente Elburg,dhr. R. van Putten,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0230
Gemeente Elburg,mevr. J. Kijf- de Weerd,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0230
Gemeente Emmen,R.S. Faber,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0114
Gemeente Enkhuizen,mevr. E. (Elsbeth) Groothedde,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0388
Gemeente Enkhuizen,Elsbeth Groothedde,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0388
Gemeente Enschede,mevr. S. (Sharda) Biharie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0153
Gemeente Enschede,mevr. C. (Ceren) Akyol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0153
Gemeente Etten-Leur,Marcella Gommers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0777
Gemeente Geertruidenberg,dhr. M.P.H. Peemen LL.B.,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0779
Gemeente Geldrop-Mierlo,Henk Keijsers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1771
Gemeente Gennep,dhr. O.M. (Oscar) Perizonius,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0907
Gemeente Goes,dhr. mr. G.M. (Maurits) van Belzen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0664
Gemeente Haarlemmermeer,mw. mr.  E.A. (Emmy) Willems,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0394
Gemeente Hardenberg,Wim van Emmen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0160
Gemeente Hardinxveld-Giessendam,Kelly van Santen- Buijk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0523
Gemeente Hattem,M. Wolf telefoon (038) 4431616,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0244
Gemeente Hattem,M. (Marlon) Wolf,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0244
Gemeente Heemskerk,dhr. B. van Dijk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0396
Gemeente Heemstede,Mevr. L.J. van Duijn-Klok,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0397
Gemeente Heemstede,Mevr. O. Govers-Terschegget,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0397
Gemeente Heerde,Marja Vink,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0246
Gemeente Heerlen,mevr. T. (Tamila) Ibragimova,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0917
Gemeente Heeze-Leende,dhr. M. (Marc) Walta,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1658
Gemeente Heeze-Leende,mevr. H. (Hetty) van Heugten,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1658
Gemeente Heeze-Leende,dhr. R. (Remy) Visser,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1658
Gemeente Hellendoorn,mevrouw E.M.  Vat,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0163
Gemeente Hendrik-Ido-Ambacht,mevr. C. (Charmaine) Ramoe,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0531
Gemeente 's-Hertogenbosch,N.Schelstraete,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0796
Gemeente Het Hogeland,mevr. T.R. Radema-Wiersema,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1966
Gemeente Heusden,Dhr. O. Looijmans,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0797
Gemeente Hollands Kroon,mw. S. Bolle,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1911
Gemeente Hollands Kroon,A. Blaauw-Herder,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1911
Gemeente Hoogeveen,Mw. I. (Inez) Heling,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0118
Gemeente Huizen,mevr. S. (Sandra) Wiggers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0406
Gemeente Hulst,Dhr. M. (Michel) van der Hulst,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0677
Gemeente Kaag en Braassem,mw. C. (Chrystel) Willems,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1884
Gemeente Katwijk,mw. H.C. de Jong,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0537
Gemeente Krimpen aan den IJssel,Paul Berkers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0542
Gemeente Krimpenerwaard,mevr. B.C. Buschbaum,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1931
Gemeente Laarbeek,Daphne Bouwhuis-Mulder,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1659
Gemeente Laarbeek,Kim van Meegdenburg,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1659
Gemeente Land van Cuijk,Emre Ören,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1982
Gemeente Landsmeer,J. van Galen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0415
Gemeente Landsmeer,K. de Mooij,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0415
Gemeente Lansingerland,mevr. mr. drs. N.S. (Nathalie) Jansen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1621
Gemeente Lansingerland,mevr. R (Rieteke) Peteroff,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1621
Gemeente Leeuwarden,Moniek Bock,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0080
Gemeente Leiderdorp,dhr. M. Korterink,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0547
Gemeente Leudal,mevr. mr. A.M.H. (Anouk) Salden,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1640
Gemeente Lochem,mw. V. Vroege,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0262
Gemeente Losser,mevr. S. (Sharda) Biharie,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0168
Gemeente Losser,mevr. C. (Ceren) Akyol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0168
Gemeente Maashorst,"Informatie-contactpersoon van Dienstverlening, Ruimte of Sociaal Domein",Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1991
Gemeente Maassluis,dhr. R.J.A. Bekkers,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0556
Gemeente Maassluis,dhr. mr. P.H. Harent,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0556
Gemeente Meierijstad,Ellie Nooren,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1948
Gemeente Moerdijk,Marianne van Wijk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1709
Gemeente Moerdijk,Mevrouw M. van Wijk.,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1709
Gemeente Moerdijk,Dhr. mr. M (Mert) Kirazli,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1709
Gemeente Moerdijk,Mw C. (Cindy) Tsang,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1709
Gemeente Moerdijk,Dhr. W. (Wesley) Liefden,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1709
Gemeente Mook en Middelaar,Mevr. N. Schreuder,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0944
Gemeente Neder-Betuwe,Robert de Groot,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1740
Gemeente Nederweert,G. van Dijk,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0946
Gemeente Nederweert,E.G.H. Nijnens,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0946
Gemeente Nieuwkoop,Mw. H.C. (Heidi) de Jong,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0569
Gemeente Nieuwkoop,Mw. N. (Nicole) Sanchez Suarez,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0569
Gemeente Noordoostpolder,Woonloket bij KCC,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0171
"Gemeente Nuenen, Gerwen en Nederwetten",Yvonne Visser,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0820
Gemeente Nunspeet,Mevrouw N. de Ruiter,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0302
Gemeente Oegstgeest,dhr. D.M.M. van der Zwet,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0579
Gemeente Oost Gelre,dhr. J. (Jochem) Meulenbeek,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1586
Gemeente Oostzaan,Lydia Flapper,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0431
Gemeente Opmeer,mevr. S. (Suzanne) van Gaalen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0432
Gemeente Oude IJsselstreek,Mariëlle Klaasen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1509
Gemeente Purmerend,Mw. J. Renout,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0439
Gemeente Putten,Jens Koning,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0273
Gemeente Reimerswaal,dhr. J. (Jannes) Masclé,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0703
Gemeente Renkum,dhr. S. Y. (Stan) Boschman,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0274
Gemeente Renswoude,Lia Overeem,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0339
Gemeente Rhenen,mevr. K. (Kevser) Yegenaga,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0340
Gemeente Ridderkerk,mw. Y. van den Oever,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0597
Gemeente Rozendaal,mevrouw D. (Diana) Blagdan,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0277
Gemeente Rucphen,P.C. van Dongen,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0840
Gemeente Schagen,Lisa Kauw,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0441
Gemeente Schiedam,dhr. mr. A. Baldew,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0606
Gemeente Schiermonnikoog,Daniëlle van Bolhuis,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0088
Gemeente Schouwen-Duiveland,Justin Villeval,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1676
Gemeente Simpelveld,J. Packbier,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0965
Gemeente Sint-Michielsgestel,Mevr. E. Willems-van der Tol,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0845
Gemeente Sittard-Geleen,Mevr. N. Zakarjan,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1883
Gemeente Sittard-Geleen,Mevr. D. Lamkin,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm1883
Gemeente Sliedrecht,Mevrouw K. Teunisse,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0610
Gemeente Smallingerland,Alida Chaker,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0090
Gemeente Soest,Duygu Kara,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0342
Gemeente Stede Broec,mevr. E. (Elsbeth) Groothedde,Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0532
Gemeente Stein,mw. Stakenborg (Amanda),Woo-contactpersoon,https://identifier.overheid.nl/tooi/id/gemeente/gm0971
